id,name,allForms,governmentAvailable,installed,enhancementRequired,noMatchedGovernmentSource,installedPercentOfAvailable
16.4,"Sam Shing, Castle Peak Bay, Gold Coast and So Kwun Wat",4738,3077,0,3077,1661,0.0
16.5,Castle Peak / Tsing Shan and Lung Kwu Tan,1142,763,0,763,379,0.0
16.6,"Lung Kwu Chau, Sha Chau and western waters",10,3,0,3,7,0.0
16.7,"Black Point, Tsang Tsui and Tuen Mun–Chek Lap Kok Link approach",298,101,0,101,197,0.0
17.1,Yuen Long town centre and Shap Pat Heung,19548,12350,1,12349,7198,0.008097165991902834
17.2,Tin Shui Wai and Ping Shan,6131,3986,1,3985,2145,0.025087807325639738
17.3,"Lau Fau Shan, Ha Pak Nai and Deep Bay shore",6256,2204,0,2204,4052,0.0
17.4,Hung Shui Kiu and Ha Tsuen,6910,3170,0,3170,3740,0.0
17.5,"Kam Tin, Pat Heung and Shek Kong airfield",26765,12684,0,12684,14081,0.0
17.6,"Au Tau, Nam Sang Wai and Kam Tin River",15602,8944,0,8944,6658,0.0
17.7,"San Tin, Lok Ma Chau and Mai Po wetlands",15522,7048,0,7048,8474,0.0
17.8,Tai Lam uplands and southern rural connections,6514,2927,0,2927,3587,0.0
18.1,Fanling and Luen Wo Hui,8486,4312,0,4312,4174,0.0
18.2,"Sheung Shui, Kwu Tung and Ho Sheung Heung",23879,10827,0,10827,13052,0.0
18.3,Sha Tau Kok town and Starling Inlet,1703,1100,0,1100,603,0.0
18.4,"Ta Kwu Ling, Ping Che and eastern rural settlements",13486,5031,0,5031,8455,0.0
18.5,"Lo Wu, Man Kam To, Heung Yuen Wai and border-area geography",838,329,0,329,509,0.0
18.6,"Luk Keng, Nam Chung and northern Pat Sin Leng foothills",1724,1029,0,1029,695,0.0
18.7,"Lai Chi Wo, Plover Cove North and Yan Chau Tong",647,400,0,400,247,0.0
18.8,"Kat O, Ap Chau and the north-eastern island / coastal villages",520,327,0,327,193,0.0
