sectionId	title	zh	ref	description
04.1	Cyberport & Pok Fu Lam	數碼港與薄扶林	way/231602706	Waterfront park paths below the Pok Fu Lam hillside.
04.2	Aberdeen waterfront	香港仔海濱	way/51801673	The promenade facing Aberdeen Harbour and its working waterfront.
04.3	Ap Lei Chau	鴨脷洲	way/40959234	Public waterfront paths beside the old town on Ap Lei Chau.
04.4	Deep Water Bay	深水灣	way/123991947	The beach and promenade on the coast east of Wong Chuk Hang.
04.5	Repulse Bay	淺水灣	name:Repulse Bay Beach	The beach frontage between the hillside neighbourhoods and the bay.
04.6	Stanley waterfront	赤柱海濱	way/576655993	The village promenade and market streets beside Stanley Bay.
04.7	Tai Tam reservoir paths	大潭水塘步道	way/52557562	A mapped family-walk route among the Tai Tam reservoir hills.
04.8	Shek O village & beach	石澳村與泳灘	name:Shek O Beach	The beach frontage and village paths below the Dragon's Back hills.
05.1	Tsim Sha Tsui ferry waterfront	尖沙咀碼頭海濱	seed:22.2935,114.1693	A mapped public-path arrival by the ferry and cultural-centre waterfront.
05.2	Tsim Sha Tsui East	尖沙咀東部	way/33613654	The eastern promenade and streets towards the Hung Hom Bay edge.
05.3	Jordan & King's Park	佐敦與京士柏	way/446811355	Public recreation grounds above Jordan and Yau Ma Tei.
05.4	Mong Kok & Prince Edward	旺角與太子	way/665731930	The civic triangle beside the market streets and older urban blocks.
05.5	Tai Kok Tsui & Olympic	大角咀與奧運	way/672609038	The western residential waterfront and Olympian City promenade.
05.6	West Kowloon Art Park	西九文化區藝術公園	way/567801791	The cultural district's waterfront park and nearby museum precinct.
06.1	Sham Shui Po	深水埗	way/151705893	Older street blocks and public paths around Sham Shui Po Park.
06.2	Shek Kip Mei	石硤尾	way/122356139	The central playground and streets through the early housing estates.
06.3	Cheung Sha Wan	長沙灣	way/151705833	Public recreation space beside the industrial and residential street grid.
06.4	Lai Chi Kok & Mei Foo	荔枝角與美孚	way/25609090	The paths and sports spaces of Lai Chi Kok Park.
06.5	Nam Cheong & western waterfront	南昌與西部海濱	name:Nam Cheong Park	The park and public routes towards the western Kowloon waterfront.
06.6	Beacon Hill foothills	筆架山山麓	way/185090462	A public garden approach below the northern Sham Shui Po hills; upper trails remain a later review.
07.1	Hung Hom & Whampoa	紅磡與黃埔	way/1207904366	Urban-park paths beside Hung Hom's waterfront residential blocks.
07.2	To Kwa Wan & Cattle Depot	土瓜灣與牛棚	way/684780794	The art park and older industrial streets of To Kwa Wan.
07.3	Kowloon Walled City Park	九龍寨城公園	name:Kowloon Walled City Park	The historic park and the surrounding Kowloon City street grid.
07.4	Kai Tak Sports Park approach	啟德體育園外圍	way/1191574324	Shing Kai Road's public garden and the approach to the sports precinct.
07.5	Kai Tak runway waterfront	啟德跑道海濱	relation/18504352	The mapped promenade along the former runway towards the cruise-terminal waterfront.
07.6	Ho Man Tin	何文田	way/197739476	Public park paths among the Ho Man Tin hillside neighbourhoods.
08.1	Wong Tai Sin precinct	黃大仙一帶	way/263310067	Public garden space south of the temple and Chuk Yuen neighbourhood.
08.2	Lok Fu & Wang Tau Hom	樂富與橫頭磡	way/184291966	Lok Fu Recreation Ground and the surrounding residential streets.
08.3	Diamond Hill & Nan Lian	鑽石山與南蓮園池	way/86041251	The garden precinct beside Chi Lin Nunnery and Diamond Hill.
08.4	San Po Kong & Choi Hung	新蒲崗與彩虹	way/158182424	Choi Hung Road's playground and the surrounding older urban blocks.
08.5	Tsz Wan Shan	慈雲山	way/108037381	Estate playgrounds and public paths below the northern hills.
08.6	Lion Rock foothills	獅子山山麓	way/224751148	The country-park approach above Wong Tai Sin's residential districts.
09.1	Kowloon Bay	九龍灣	way/126469800	Public paths beside the Zero Carbon Building and former industrial blocks.
09.2	Ngau Tau Kok	牛頭角	way/367542053	Ngau Tau Kok Park and the surrounding residential street network.
09.3	Kwun Tong waterfront	觀塘海濱	way/205719186	Promenade paths along the former industrial waterfront.
09.4	Sau Mau Ping	秀茂坪	way/457650488	Memorial-park paths between Sau Mau Ping's hillside estates.
09.5	Lam Tin	藍田	way/58475071	Lam Tin Park and the residential slopes towards Yau Tong.
09.6	Cha Kwo Ling old village	茶果嶺舊村	way/111855476	The mapped village lane beside the eastern harbour shore.
